State,Name,FIPS,Count
CO,COLORADO,08,37
CA,CALIFORNIA,06,16
MA,MASSACHUSETTS,25,22
TX,TEXAS,48,36
NC,NORTH CAROLINA,37,4
PA,PENNSYLVANIA,42,2
GA,GEORGIA,13,7
VA,VIRGINIA,51,25
FL,FLORIDA,12,16
NY,NEW YORK,36,3
AZ,ARIZONA,04,1
MD,MARYLAND,24,5
RI,RHODE ISLAND,44,2
NJ,NEW JERSEY,34,2
IN,INDIANA,18,2
MN,MINNESOTA,27,3
OR,OREGON,41,1
WA,WASHINGTON,53,7
SC,SOUTH CAROLINA,45,5
NH,NEW HAMPSHIRE,33,3
AL,ALABAMA,01,4
OH,OHIO,39,3
WV,WEST VIRGINIA,54,3
MO,MISSOURI,29,1
UT,UTAH,49,3
DC,DISTRICT OF COLUMBIA,11,2
TN,TENNESSEE,47,3
KY,KENTUCKY,21,1
MT,MONTANA,30,1
OK,OKLAHOMA,40,2
NM,NEW MEXICO,35,1
MS,MISSISSIPPI,28,1
AR,ARKANSAS,05,1
KS,KANSAS,20,1
IL,ILLINOIS,17,1
